framenum , queue density , dynamic density
3601,0.485466,0.00329375
3606,0.484456,0.0030875
3611,0.485656,0.00472188
3616,0.487444,0.00764375
3621,0.493166,0.0164812
3626,0.493613,0.0132531
3631,0.493209,0.010275
3636,0.496303,0.0189563
3641,0.496684,0.0243312
3646,0.488509,0.0272187
3651,0.48725,0.0196875
3656,0.4861,0.0123562
3661,0.485825,0.00946563
3666,0.484691,0.00929687
3671,0.483175,0.0132219
3676,0.482066,0.0126031
3681,0.483216,0.0139312
3686,0.482803,0.0145688
3691,0.484728,0.0109125
3696,0.482919,0.0134094
3701,0.481056,0.0284656
3706,0.484134,0.0362312
3711,0.486256,0.0384562
3716,0.488787,0.0342625
3721,0.489837,0.0363313
3726,0.491528,0.0312875
3731,0.491503,0.0255688
3736,0.490628,0.0246281
3741,0.489056,0.0243937
3746,0.486403,0.0262781
3751,0.485469,0.0236125
3756,0.485047,0.0182031
3761,0.484591,0.0120219
3766,0.482403,0.00831563
3771,0.476628,0.0198406
3776,0.479072,0.0174594
3781,0.484137,0.0158438
3786,0.487534,0.0153906
3791,0.489794,0.0137594
3796,0.489819,0.0231406
3801,0.490528,0.0274906
3806,0.489134,0.0299219
3811,0.488337,0.0329156
3816,0.489456,0.0315875
3821,0.50175,0.0894313
3826,0.503394,0.0685969
3831,0.506637,0.0124937
3836,0.509737,0.0105219
3841,0.51305,0.0102406
3846,0.513909,0.0246625
3851,0.516103,0.0160281
3856,0.516456,0.012125
3861,0.515403,0.0152687
3866,0.513753,0.0180438
3871,0.515234,0.0220469
3876,0.517825,0.016175
3881,0.518487,0.0161937
3886,0.518841,0.0161656
3891,0.519934,0.0156219
3896,0.513759,0.0292031
3901,0.513431,0.0260281
3906,0.519044,0.0181125
3911,0.5206,0.0124719
3916,0.520434,0.0099125
3921,0.518009,0.0144656
3926,0.518897,0.00935
3931,0.518147,0.0071625
3936,0.518641,0.00502188
3941,0.518166,0.00630312
3946,0.521481,0.0115031
3951,0.52295,0.00732188
3956,0.523581,0.00570625
3961,0.522047,0.00898125
3966,0.522575,0.00645625
3971,0.521022,0.0116469
3976,0.520441,0.00798125
3981,0.517178,0.0109594
3986,0.514125,0.0118031
3991,0.520222,0.00593438
3996,0.519472,0.00928437
4001,0.519766,0.00594687
4006,0.519103,0.00465625
4011,0.519609,0.00353438
4016,0.519909,0.00487188
4021,0.519428,0.0134719
4026,0.520338,0.0152344
4031,0.519056,0.009725
4036,0.519528,0.00611875
4041,0.519909,0.00579687
4046,0.519719,0.00910313
4051,0.520675,0.00432188
4056,0.520537,0.002725
4061,0.520456,0.00425625
4066,0.520109,0.00529688
4071,0.520969,0.0215187
4076,0.520972,0.0137031
4081,0.521456,0.00610938
4086,0.520428,0.00487188
4091,0.520344,0.00507187
4096,0.518437,0.0141375
4101,0.518484,0.0134
4106,0.518891,0.0145219
4111,0.519012,0.0141719
4116,0.5186,0.0156469
4121,0.518916,0.0229531
4126,0.520125,0.0143906
4131,0.521353,0.0260312
4136,0.519628,0.0572812
4141,0.518472,0.0734031
4146,0.518003,0.0952781
4151,0.519869,0.0997625
4156,0.519322,0.0993813
4161,0.519978,0.102159
4166,0.521397,0.115931
4171,0.526919,0.136172
4176,0.535088,0.152863
4181,0.544541,0.16885
4186,0.547341,0.171775
4191,0.547637,0.182325
4196,0.544359,0.19205
4201,0.547384,0.201412
